order_id,name,ordered_at,price,quantity,line_total
10000,"""ICE CREAM"" Peanut Fudge",1/1/2018 11:30,3.5,3,10.5
10000,"""ICE CREAM"" Peanut Fudge",1/1/2018 11:30,3.5,1,3.5
10001,"""SORBET"" Raspberry",1/1/2018 12:14,2.5,2,5
10001,,1/1/2018 12:14,1.5,1,1.5
10001,"""CONE"" Dipped Waffle Cone",1/1/2018 12:14,3.5,1,3.5
10002,"""SORBET"" Lychee",1/1/2018 12:23,3,1,3
10002,,1/1/2018 12:23,3,3,9
10002,"""ICE CREAM"" Earl Gray",1/1/2018 12:23,0.5,3,1.5
10003,"""ICE CREAM"" Matcha",1/1/2018 12:49,1.5,3,4.5
10004,"""BEVERAGE"" Iced Coffee",1/1/2018 13:22,2.5,2,5
10004,"""BEVERAGE"" Espresso",1/1/2018 13:22,2.5,1,2.5
10004,"""ICE CREAM"" Mint Chip",1/1/2018 13:22,1.5,2,3
10004,"""CONE"" Brownie Cone",1/1/2018 13:22,3,3,9
10004,"""ICE CREAM"" Dulce De Leche",1/1/2018 13:22,1.5,3,4.5
10005,"""SORBET"" Raspberry",1/1/2018 13:58,2.5,2,5
10005,"""ICE CREAM"" Dulce De Leche",1/1/2018 13:58,1.5,2,3
10005,"""CONE"" Waffle Cone",1/1/2018 13:58,4,2,8
10005,"""ICE CREAM"" Candied Bacon",1/1/2018 13:58,0.5,1,0.5
10005,"""SORBET"" Raspberry",1/1/2018 13:58,2.5,1,2.5
10006,"""MISC"" Ice Cream Cake",1/1/2018 14:55,2,3,6
10006,"""SORBET"" Lychee",1/1/2018 14:55,3,1,3
10006,"""CONE"" Waffle Cone",1/1/2018 14:55,4,1,4
10006,"""ICE CREAM"" Peanut Fudge",1/1/2018 14:55,3.5,2,7
10006,"""SORBET"" Lemon",1/1/2018 14:55,2.5,3,7.5
10007,"""ICE CREAM"" Peanut Fudge",1/1/2018 15:03,3.5,3,10.5
10007,"""CONE"" Sugar Cone",1/1/2018 15:03,1,3,3
10007,"""SORBET"" Raspberry",1/1/2018 15:03,2.5,2,5
10007,,1/1/2018 15:03,2.5,1,2.5
10007,"""ICE CREAM"" Matcha",1/1/2018 15:03,-1.5,2,-3
10008,"""SORBET"" Watermelon",1/1/2018 15:48,2.5,2,5
10008,"""SORBET"" Raspberry",1/1/2018 15:48,2.5,1,2.5
10008,"""ICE CREAM"" Earl Gray",1/1/2018 15:48,0.5,2,1
10008,"""SORBET"" Raspberry",1/1/2018 15:48,2.5,3,7.5
10009,"""SORBET"" Blood Orange",1/1/2018 16:14,2.5,3,7.5
10009,"""CONE"" Sugar Cone",1/1/2018 16:14,1,2,2
10010,"""ICE CREAM"" Vanilla Bean",1/1/2018 16:14,1.5,2,3
10011,"""BEVERAGE"" Iced Coffee",1/1/2018 17:13,2.5,3,7.5
10011,"""ICE CREAM"" Strawberry",1/1/2018 17:13,3.5,1,3.5
10011,"""ICE CREAM"" Dulce De Leche",1/1/2018 17:13,1.5,3,4.5
10011,"""BEVERAGE"" Iced Coffee",1/1/2018 17:13,2.5,2,5
10011,"""ICE CREAM"" Candied Bacon",1/1/2018 17:13,0.5,1,0.5
10012,"""SORBET"" Lychee",1/1/2018 18:01,3,2,6
10012,"""ICE CREAM"" Matcha",1/1/2018 18:01,1.5,1,1.5
10012,"""BEVERAGE"" Espresso",1/1/2018 18:01,2.5,1,2.5
10013,"""ICE CREAM"" Dulce De Leche",1/1/2018 19:00,1.5,1,1.5
10014,"""ICE CREAM"" Rocky Road",1/1/2018 19:18,3.5,3,10.5
10015,"""SORBET"" Blood Orange",1/1/2018 20:11,2.5,2,5
10015,"""MISC"" Ice Cream Cake",1/1/2018 20:11,2,1,2
10015,"""ICE CREAM"" Vanilla Bean",1/1/2018 20:11,1.5,1,1.5
10015,"""CONE"" Dipped Waffle Cone",1/1/2018 20:11,3.5,2,7
